"","120","辩解","辯解","biàn jiě","explain; justify; defend (a point of view, etc.)",""
"","121","辩证","辯證","biàn zhèng","investigate; dialectical",""
"","122","辫子","辮子","biàn zi","plait; braid; pigtail",""
"","123","标本","標本","biāo běn","specimen; sample; the root cause and symptoms of a disease",""
"","124","标记","標記","biāo jì","sign; mark; symbol",""
"","125","标题","標題","biāo tí","title; header; headline; caption",""
"","126","表决","表決","biǎo jué","decide by vote; vote",""
"","127","表态","表態","biǎo tài","make known one's position; declare where one stands",""
"","128","表彰","表彰","biǎo zhāng","cite (in dispatches); commend",""
"","129","憋","憋","biē","hold in (urine); hold (breath); choke",""
"","130","别墅","別墅","bié shù","villa",""
"","131","别致","別致","bié zhì","unique; unconventional; fancy",""
"","132","别扭","別扭","biè niu","awkward; unnatural",""
"","133","濒临","瀕臨","bīn lín","on the verge of",""
"","134","冰雹","冰雹","bīng báo","hail",""
"","135","丙","丙","bǐng","bright; fire (3rd Heavenly Stem)",""
"","136","并非","並非","bìng fēi","really isn't",""
"","137","并列","並列","bìng liè","stand side by side; be juxtaposed",""
"","138","拨","撥","bō","to dial; move with a hand/foot; stir; poke; allocate (money)",""
"","139","波浪","波浪","bō làng","wave",""
"","140","波涛","波濤","bō tāo","great waves; billows",""
"","141","剥削","剝削","bō xuē","to exploit",""
"","142","播种","播種","bō zhǒng","sow seeds; sowing; seed",""
"","143","伯母","伯母","bó mǔ","aunt; wife of father's older brother",""
"","144","博大精深","博大精深","bó dà jīng shēn","broad and profound",""
"","145","博览会","博覽會","bó lǎn huì","(international) exhibition",""
"","146","搏斗","搏鬥","bó dòu","fight; struggle; wrestle",""
"","147","薄弱","薄弱","bó ruò","weak; frail",""
"","148","补偿","補償","bǔ cháng","compensation; make up",""
"","149","补救","補救","bǔ jiù","remedy; repair",""
"","150","补贴","補貼","bǔ tiē","subsidy; allowance",""
"","151","捕捉","捕捉","bǔ zhuō","catch; to seize",""
"","152","哺乳","哺乳","bǔ rǔ","breast-feeding; to suckle",""
"","153","不得已","不得已","bù dé yǐ","act against one's will; have no alternative",""
"","154","不妨","不妨","bù fáng","there is no harm in; might as well",""
"","155","不敢当","不敢當","bù gǎn dāng","(literally) I dare not accept the honor; you flatter me",""
"","156","不顾","不顧","bú gù","in spite of; regardless of; to disregard",""
"","157","不禁","不禁","bù jīn","cannot help; can't refrain from",""
"","158","不堪","不堪","bù kān","cannot bear/stand; utterly",""
"","159","不可思议","不可思議","bù kě sī yì","unimaginable; inconceivable",""
"","160","不愧","不愧","bú kuì","be worthy of; deserve to be called; prove oneself to be",""
"","161","不料","不料","bú liào","unexpectedly; to one's surprise",""
"","162","不免","不免","bù miǎn","unavoidable",""
"","163","不时","不時","bù shí","frequently; often; at any time",""
"","164","不惜","不惜","bù xī","to not hesitate; not spare",""
"","165","不相上下","不相上下","bù xiāng shàng xià","equally matched; about the same",""
"","166","不像话","不像話","bú xiàng huà","unreasonable; absurd; outrageous",""
"","167","不屑一顾","不屑一顧","bú xiè yí gù","not worth seeing; disdain as beneath contempt",""
"","168","不言而喻","不言而喻","bù yán ér yù","it goes without saying; it is self-evident",""
"","169","不由得","不由得","bù yóu de","can't help; cannot but",""
"","170","不择手段","不擇手段","bù zé shǒu duàn","by fair means or foul",""
"","171","不止","不止","bù zhǐ","incessantly; more than",""
"","172","布告","布告","bù gào","notice; bulletin",""
"","173","布局","布局","bù jú","arrangement; composition; layout",""
"","174","布置","布置","bù zhì","arrange; decorate; decoration",""
"","175","步伐","步伐","bù fá","pace; (measured) step; march",""
"","176","部署","部署","bù shǔ","dispose; deploy",""
"","177","部位","部位","bù wèi","position; place",""
"","178","才干","才幹","cái gàn","ability; competence",""
"","179","财富","財富","cái fù","wealth; riches; fortune",""
"","180","财务","財務","cái wù","financial affairs",""
"","181","财政","財政","cái zhèng","public finances; financial",""
"","182","裁缝","裁縫","cái feng","tailor; dressmaker",""
"","183","裁判","裁判","cái pàn","judge; to referee; judgment",""
"","184","裁员","裁員","cái yuán","cut staff; lay off employees",""
"","185","采购","采購","cǎi gòu","make purchases for an organization; go shopping",""
"","186","采集","采集","cǎi jí","gather; collect",""
"","187","采纳","采納","cǎi nà","accept; adopt",""
"","188","彩票","彩票","cǎi piào","lottery; lottery ticket",""
"","189","参谋","參謀","cān móu","advisor; give advice",""
"","190","参照","參照","cān zhào","consult a reference; refer to (another document)",""
"","191","残疾","殘疾","cán ji","deformity; handicapped; crippled",""
"","192","残酷","殘酷","cán kù","cruel",""
"","193","残留","殘留","cán liú","to remain; be left over; surplus; remnant",""
"","194","残忍","殘忍","cán rěn","brutal; bloody; merciless",""
"","195","灿烂","燦爛","càn làn","to glitter; brilliant; splendid",""
"","196","仓促","倉促","cāng cù","hurried",""
"","197","仓库","倉庫","cāng kù","depot; storehouse; warehouse",""
"","198","苍白","蒼白","cāng bái","pale; wan; pallid",""
"","199","舱","艙","cāng","cabin; hold (of a ship or airplane)",""
"","200","操劳","操勞","cāo láo","work hard; look after",""
"","201","操练","操練","cāo liàn","to drill; to practice",""
"","202","操纵","操縱","cāo zòng","operate; control; manipulation",""
"","203","操作","操作","cāo zuò","operate; manipulate",""
"","204","嘈杂","嘈雜","cáo zá","noisy; raucous",""
"","205","草案","草案","cǎo àn","draft (legislation, proposal, etc.)",""
"","206","草率","草率","cǎo shuài","cursory; careless; negligent; sloppy; not serious",""
"","207","侧面","側面","cè miàn","side; profile; flank; face in profile",""
"","208","测量","測量","cè liáng","to survey; to measure",""
"","209","策划","策劃","cè huà","plot; scheme; bring about",""
"","210","策略","策略","cè lüè","tactics; plot",""
"","211","层出不穷","層出不窮","céng chū bù qióng","(idiom) emerge more and more; innumerable succession; breeding like flies",""
"","212","层次","層次","céng cì","level; rank order; standing; layer",""
"","213","差别","差別","chā bié","difference; disparity",""
"","214","插座","插座","chā zuò","power socket",""
"","215","查获","查獲","chá huò","investigate and capture a criminal; discover",""
"","216","岔","岔","chà","fork in the road; turn off; diverge",""
"","217","刹那","刹那","chà nà","an instant (Sanskrit: ksana); split second",""
"","218","诧异","詫異","chà yì","flabbergasted; astonished",""
"","219","柴油","柴油","chái yóu","diesel fuel; kerosene",""
"","220","搀","攙","chān","assist by the arm; mix; support; sustain",""
"","221","馋","饞","chán","gluttonous; greedy",""
"","222","缠绕","纏繞","chán rào","bind; wind; twirl; twist; intertwine",""
"","223","产业","産業","chǎn yè","industry; estate; property",""
"","224","阐述","闡述","chǎn shù","expound (a position); elaborate (on a topic)",""
"","225","颤抖","顫抖","chàn dǒu","tremble; to shiver; to shake",""
"","226","昌盛","昌盛","chāng shèng","prosperous",""
"","227","尝试","嘗試","cháng shì","to try; attempt",""
"","228","偿还","償還","cháng huán","repay; reimburse",""
"","229","场合","場合","chǎng hé","occasion; situation",""
"","230","场面","場面","chǎng miàn","scene; occasion",""
"","231","场所","場所","chǎng suǒ","location; place",""
"","232","敞开","敞開","chǎng kāi","open wide",""
"","233","畅通","暢通","chàng tōng","unimpeded; unclogged; free-flowing; straight path; to expedite",""
"","234","畅销","暢銷","chàng xiāo","best seller; chart-topping; very marketable",""
"","235","倡导","倡導","chàng dǎo","to advocate; propose",""
"","236","倡议","倡議","chàng yì","suggest; propose",""
"","237","钞票","鈔票","chāo piào","paper money; bill",""
"","238","超越","超越","chāo yuè","surpass; exceed; transcend",""
"","239","巢穴","巢穴","cháo xué","lair; nest; den; hideout",""
"","240","朝代","朝代","cháo dài","dynasty; reign (of a king)",""
"","241","嘲笑","嘲笑","cháo xiào","jeer; mock; scoff",""
"","242","潮流","潮流","cháo liú","tide; current; trend",""
"","243","撤退","撤退","chè tuì","retreat",""
"","244","撤销","撤銷","chè xiāo","repeal",""
"","245","沉淀","沈澱","chén diàn","to precipitate (solid sediment out of a solution); to settle",""
"","246","沉闷","沈悶","chén mèn","oppressive (of weather); heavy; depressed; not happy",""
"","247","沉思","沈思","chén sī","ponder; contemplate; meditation",""
"","248","沉重","沈重","chén zhòng","heavy; hard; serious",""
"","249","沉着","沈著","chén zhuó","calm and collected; not nervous",""
"","250","陈旧","陳舊","chén jiù","old fashioned; outmoded; obsolete",""
"","251","陈列","陳列","chén liè","to display; to exhibit",""
"","252","陈述","陳述","chén shù","allegation; assertation; to declare; to state",""
"","253","衬托","襯托","chèn tuō","to set off; serve as a foil to",""
"","254","称心如意","稱心如意","chèn xīn rú yì","find sth. satisfactory",""
"","255","称号","稱號","chēng hào","title; term of address",""
"","256","成本","成本","chéng běn","cost (manufacturing, production, etc.)",""
"","257","成交","成交","chéng jiāo","complete a contract; clinch a deal; to seal",""
"","258","成天","成天","chéng tiān","all day long; all the time",""
"","259","成效","成效","chéng xiào","effect; result",""
"","260","成心","成心","chéng xīn","intentional; deliberate; with prior intent",""
"","261","成员","成員","chéng yuán","member",""
"","262","呈现","呈現","chéng xiàn","appear; emerge; present (a certain appearance)",""
"","263","诚挚","誠摯","chéng zhì","sincere; cordial; earnest",""
"","264","承办","承辦","chéng bàn","undertake; accept an assignment",""
"","265","承包","承包","chéng bāo","to contract (to undertake a job)",""
"","266","承诺","承諾","chéng nuò","to promise",""
"","267","城堡","城堡","chéng bǎo","castle",""
"","268","乘","乘","chéng","to ride; to mount; make use of; multiply",""
"","269","盛","盛","chéng | shèng","contain; to ladle; to fill | flourishing; grand; abundant",""
"","270","惩罚","懲罰","chéng fá","penalty; punishment; to punish; to penalize",""
"","271","澄清","澄清","chéng qīng","(of liquid) settle; become clear; (Chem.) precipitate",""
"","272","橙","橙","chéng","orange (color); orange (fruit, tree)",""
"","273","秤","秤","chèng","balance; scale; steelyard",""
"","274","吃苦","吃苦","chī kǔ","bear hardships; suffer",""
"","275","吃力","吃力","chī lì","strenuous; exhausted",""
"","276","迟钝","遲鈍","chí dùn","slow (witted); stupid; dull",""
"","277","迟缓","遲緩","chí huǎn","slow; sluggish",""
"","278","迟疑","遲疑","chí yí","hesitate",""
"","279","持久","持久","chí jiǔ","duration; enduring; lasting; persistent",""
"","280","赤道","赤道","chì dào","the equator",""
"","281","赤字","赤字","chì zì","(financial) deficit; red ink",""
"","282","冲动","沖動","chōng dòng","impulsive; act on impulse",""
"","283","冲击","沖擊","chōng jī","attack; impact; a shock",""
"","284","冲突","沖突","chōng tū","conflict; clash",""
"","285","充当","充當","chōng dāng","serve as; play the part of",""
"","286","充沛","充沛","chōng pèi","abundant; plentiful; vigorous",""
"","287","充实","充實","chōng shí","substantial; rich; enrich; substantiate",""
"","288","充足","充足","chōng zú","adequate; sufficient; abundant",""
"","289","重叠","重疊","chóng dié","to overlap",""
"","290","崇拜","崇拜","chóng bài","worship; adore",""
"","291","崇高","崇高","chóng gāo","lofty; sublime",""
"","292","崇敬","崇敬","chóng jìng","revere; admire; veneration",""
"","293","稠密","稠密","chóu mì","dense; thick",""
"","294","筹备","籌備","chóu bèi","make preparations; get ready for something",""
"","295","丑恶","醜惡","chǒu è","ugly; repulsive; odiousness",""
"","296","出路","出路","chū lù","a way out; outlet",""
"","297","出卖","出賣","chū mài","sell; betray; sell out",""
"","298","出身","出身","chū shēn","family background; class origin",""
"","299","出神","出神","chū shén","be lost in thought; entranced; preoccupation; Trance (music genre)",""
"","300","出息","出息","chū xi","future prospects; aspiration; promise",""
"","301","初步","初步","chū bù","initial; preliminary; tentative",""
"","302","除","除","chú","besides; except; remove; to divide (mathematics)",""
"","303","处分","處分","chǔ fèn","punish; punishment; discipline; disposal",""
"","304","处境","處境","chǔ jìng","plight; unfavorable situation",""
"","305","处置","處置","chǔ zhì","to handle; take care of; punish",""
"","306","储备","儲備","chǔ bèi","reserves; store up",""
"","307","储存","儲存","chǔ cún","stockpile; to store",""
"","308","储蓄","儲蓄","chǔ xù","to save; to deposit",""
"","309","触犯","觸犯","chù fàn","offend; violate",""
"","310","川流不息","川流不息","chuān liú bù xī","(saying) flowing of an endless stream",""
"","311","穿越","穿越","chuān yuè","pass through; cut across",""
"","312","传达","傳達","chuán dá","convey; transmit; communicate",""
"","313","传单","傳單","chuán dān","leaflet; flier; pamphlet",""
"","314","传授","傳授","chuán shòu","impart; pass on; teach",""
"","315","船舶","船舶","chuán bó","ships; boats; watercraft",""
"","316","喘气","喘氣","chuǎn qì","to pant; gasp for breath",""
"","317","串","串","chuàn","string together; conspire; gang up; mix up; bunch",""
"","318","床单","床單","chuáng dān","bed sheet",""
"","319","创立","創立","chuàng lì","to found; establish",""
"","320","创新","創新","chuàng xīn","innovate; innovation",""
"","321","创业","創業","chuàng yè","begin an undertaking; start a major task; start a company",""
"","322","创作","創作","chuàng zuò","create; to produce; creative work",""
"","323","吹牛","吹牛","chuī niú","to brag; (regional) to chat",""
"","324","吹捧","吹捧","chuī pěng","flatter sb.; extol sb.'s accomplishments",""
"","325","炊烟","炊煙","chuī yān","smoke from kitchen chimneys",""
"","326","垂直","垂直","chuí zhí","perpendicular; vertical",""
"","327","锤","錘","chuí","hammer; weight",""
"","328","纯粹","純粹","chún cuì","purely; pure",""
"","329","纯洁","純潔","chún jié","pure; unadulterated; cleanse",""
"","330","慈善","慈善","cí shàn","philanthropic; benevolent; charitable",""
"","331","慈祥","慈祥","cí xiáng","a kindly person; benevolent (often of older people)",""
"","332","磁带","磁帶","cí dài","cassette tape",""
"","333","雌雄","雌雄","cí xióng","male and female; winners and losers",""
"","334","次品","次品","cì pǐn","defective or substandard products",""
"","335","次序","次序","cì xù","sequence; order",""
"","336","伺候","伺候","cì hou","serve; wait upon; act as a valet",""
"","337","刺","刺","cì","thorn; to sting; to prick; pierce; stab",""
"","338","从容","從容","cóng róng","leisurely; calm",""
"","339","丛","叢","cóng","crowd together; thicket; collection",""
"","340","凑合","湊合","còu he","bring together; make do in a bad situation; improvise",""
"","341","粗鲁","粗魯","cū lǔ","crude; coarse; rough; language",""
"","342","窜","竄","cuàn","to flee; to escape; run away",""
"","343","摧残","摧殘","cuī cán","to ruin; devastate; vandalize",""
"","344","脆弱","脆弱","cuì ruò","weak; fragile; flimsy; frail",""
"","345","搓","搓","cuō","rub or roll between the hands or fingers; to twist",""
"","346","磋商","磋商","cuō shāng","discuss seriously; consult; negotiate",""
"","347","挫折","挫折","cuò zhé","setback; defeat; frustration",""
"","348","搭","搭","dā","to erect; to build; travel by (car, plane, etc.); to hang; to join",""
"","349","搭档","搭檔","dā dàng","team up; cooperate; work together",""
"","350","搭配","搭配","dā pèi","pair up; arrange in pairs; to add sth. into a group; to suit",""
"","351","达成","達成","dá chéng","to reach (an agreement); achieve",""
"","352","答辩","答辯","dá biàn","reply (to an accusation)",""
"","353","答复","答複","dá fù","to answer; to reply",""
"","354","打包","打包","dǎ bāo","get a doggy bag (at a restaurant); pack up",""
"","355","打官司","打官司","dǎ guān si","go to court",""
"","356","打击","打擊","dǎ jī","to strike; to hit; to attack",""
"","357","打架","打架","dǎ jià","to fight; scuffle; to come to blows",""
"","358","打量","打量","dǎ liang","take measure of; size up",""
"","359","打猎","打獵","dǎ liè","hunt; to go hunting",""
"","360","打仗","打仗","dǎ zhàng","fight; go to war; fight a battle",""
"","361","大不了","大不了","dà bu liǎo","at the worst; if worst comes to worst; serious, alarming",""
"","362","大臣","大臣","dà chén","chancellor",""
"","363","大伙儿","大夥兒","dà huǒ r","everyone",""
"","364","大肆","大肆","dà sì","wantonly; without any constraint",""
"","365","大体","大體","dà tǐ","in general; more or less; on the whole",""
"","366","大意","大意","dà yì","main idea; general idea; gist",""
"","367","大致","大致","dà zhì","more or less; roughly; approximately",""
"","368","歹徒","歹徒","dǎi tú","evil person who commits crimes; villain; gangster",""
"","369","代价","代價","dài jià","price; cost; expense",""
"","370","代理","代理","dài lǐ","acting (temporarily filling a position); agent",""
"","371","带领","帶領","dài lǐng","to guide; to lead",""
"","372","怠慢","怠慢","dài màn","to slight; give somebody a cold shoulder; treat somebody in a cold manner",""
"","373","逮捕","逮捕","dài bǔ","to arrest; to capture",""
"","374","担保","擔保","dān bǎo","guarantee; vouch for",""
"","375","胆怯","膽怯","dǎn qiè","timid; coward",""
"","376","诞辰","誕辰","dàn chén","birthday",""
"","377","诞生","誕生","dàn shēng","be born; come into being",""
"","378","淡季","淡季","dàn jì","off season; slow business season",""
"","379","淡水","淡水","dàn shuǐ","fresh water; potable water (water with low salt content)",""
"","380","蛋白质","蛋白質","dàn bái zhì","protein",""
"","381","当场","當場","dāng chǎng","at the scene; on the spot",""
"","382","当初","當初","dāng chū","at that time; at the outset; originally",""
"","383","当代","當代","dāng dài","present day; contemporary",""
"","384","当面","當面","dāng miàn","to sb.'s face; in sb.'s presence",""
"","385","当前","當前","dāng qián","current; modern; present",""
"","386","当事人","當事人","dāng shì rén","persons involved or implicated; party (to an affair)",""
"","387","当务之急","當務之急","dāng wù zhī jí","the most pressing matter of the moment; a top priority task; urgent matter",""
"","388","当选","當選","dāng xuǎn","be elected",""
"","389","党","黨","dǎng","party; club; association",""
"","390","档案","檔案","dàng àn","file; record; archive",""
"","391","档次","檔次","dàng cì","grade; quality; class; level",""
"","392","导弹","導彈","dǎo dàn","guided missile; cruise missile",""
"","393","导航","導航","dǎo háng","navigation",""
"","394","导向","導向","dǎo xiàng","guidance; lead to; direct something towards",""
"","395","捣乱","搗亂","dǎo luàn","cause a disturbance; look for trouble",""
"","396","倒闭","倒閉","dǎo bì","go bankrupt; close down",""
"","397","盗窃","盜竊","dào qiè","steal; pilfer",""
"","398","稻谷","稻谷","dào gǔ","rice crops/paddy",""
"","399","得不偿失","得不償失","dé bù cháng shī","the gains do not outweigh the losses",""
"","400","得力","得力","dé lì","able; competent",""
"","401","得天独厚","得天獨厚","dé tiān dú hòu","enjoy exceptional advantages; richly endowed by nature",""
"","402","得罪","得罪","dé zuì","offend; a faux pas",""
